id_cliente,nome,cidade,estado,plano,valor_mensal,data_adesao,status
1,Dra. Larissa Garcia,da Luz de Novaes,PI,Essencial,59.9,2026-01-13,Ativo
2,Danilo Araújo,Sampaio,CE,Premium,89.9,2026-01-13,Ativo
3,Davi Lucca Vargas,Aparecida da Mata,RR,Basico,39.9,2026-01-13,Ativo
4,Sra. Sophia Pastor,Camargo da Prata,AL,Basico,39.9,2026-01-13,Ativo
5,Dr. Miguel Rodrigues,Sá,MS,Essencial,59.9,2026-01-13,Ativo
6,Sra. Daniela Aragão,Marques,RN,Premium,89.9,2026-01-13,Ativo
7,Raquel Teixeira,Montenegro de Aparecida,SC,Basico,39.9,2026-01-13,Ativo
8,Dr. João Guilherme Alves,Santos do Amparo,MA,Premium,89.9,2026-01-13,Churn
9,Théo Freitas,Rodrigues da Mata,PA,Basico,39.9,2026-01-13,Ativo
10,Dr. Caio Leão,Fogaça,PA,Basico,39.9,2026-01-13,Churn
11,Ana Beatriz Teixeira,da Mota,PA,Premium,89.9,2026-01-13,Ativo
12,Nicole da Rocha,Mendonça,MS,Essencial,59.9,2026-01-13,Churn
13,Guilherme Cavalcanti,Alves do Sul,SE,Basico,39.9,2026-01-13,Churn
14,Igor Vasconcelos,Novais,BA,Essencial,59.9,2026-01-13,Churn
15,Sr. Thomas Peixoto,Correia,TO,Essencial,59.9,2026-01-13,Ativo
16,Maria Isis Ferreira,Duarte,BA,Essencial,59.9,2026-01-13,Ativo
17,Erick Cunha,Cassiano,AL,Essencial,59.9,2026-01-13,Ativo
18,Igor Jesus,da Conceição de Goiás,GO,Basico,39.9,2026-01-13,Churn
19,Ágatha Sousa,Souza do Sul,AP,Essencial,59.9,2026-01-13,Ativo
20,Juliana Vasconcelos,Nogueira,CE,Essencial,59.9,2026-01-13,Ativo
21,Thales Rodrigues,da Luz de Camargo,PR,Essencial,59.9,2026-01-13,Ativo
22,Heitor Farias,Moura,BA,Essencial,59.9,2026-01-13,Ativo
23,Valentim Azevedo,Vieira das Pedras,RO,Basico,39.9,2026-01-13,Ativo
24,Davi Lucas Borges,da Conceição,PE,Basico,39.9,2026-01-13,Ativo
25,Kevin Rodrigues,Duarte do Amparo,AP,Premium,89.9,2026-01-13,Ativo
26,Manuela Aparecida,Moraes de Camargo,SE,Basico,39.9,2026-01-13,Churn
27,Ian Leão,Oliveira,CE,Premium,89.9,2026-01-13,Churn
28,Bárbara Costela,Fonseca,RJ,Basico,39.9,2026-01-13,Churn
29,Felipe Castro,da Rosa,SC,Basico,39.9,2026-01-13,Ativo
30,Dra. Aurora Fonseca,Brito de Minas,SE,Essencial,59.9,2026-01-13,Ativo
31,Breno Monteiro,Moreira da Praia,MS,Essencial,59.9,2026-01-13,Churn
32,Sophie Cirino,Freitas,RR,Essencial,59.9,2026-01-13,Churn
33,Mariana Borges,Correia,RN,Basico,39.9,2026-01-13,Ativo
34,Bryan Abreu,Campos de Casa Grande,PA,Essencial,59.9,2026-01-13,Ativo
35,Arthur Sampaio,Souza,RJ,Essencial,59.9,2026-01-13,Churn
36,Kevin Porto,Camargo,AM,Essencial,59.9,2026-01-13,Ativo
37,Maria Laura Sousa,Duarte de Minas,AM,Premium,89.9,2026-01-13,Churn
38,Théo Machado,Novais,GO,Premium,89.9,2026-01-13,Ativo
39,Luan Fogaça,Aparecida da Praia,ES,Essencial,59.9,2026-01-13,Ativo
40,Luiz Henrique Duarte,Albuquerque,PE,Premium,89.9,2026-01-13,Ativo
41,Sophie da Rosa,Sousa,SC,Essencial,59.9,2026-01-13,Churn
42,Dr. Luiz Fernando da Rosa,Fernandes Alegre,CE,Basico,39.9,2026-01-13,Ativo
43,Maria Júlia da Cunha,Novaes de Alves,RJ,Essencial,59.9,2026-01-13,Ativo
44,Marcos Vinicius Mendonça,Gomes,AP,Premium,89.9,2026-01-13,Ativo
45,Raquel Camargo,Fogaça,RS,Essencial,59.9,2026-01-13,Ativo
46,Lavínia Duarte,Castro,DF,Basico,39.9,2026-01-13,Ativo
47,Nicolas Abreu,Cirino de Souza,PB,Premium,89.9,2026-01-13,Ativo
48,Theo Campos,Silva,MT,Essencial,59.9,2026-01-13,Ativo
49,Dr. Arthur Novais,Carvalho,MG,Essencial,59.9,2026-01-13,Ativo
50,Luna Mendonça,Duarte,AL,Basico,39.9,2026-01-13,Ativo
51,Dr. Ravy Novais,Pereira de Minas,AM,Premium,89.9,2026-01-13,Ativo
52,Eduarda Moura,Duarte das Pedras,PR,Essencial,59.9,2026-01-13,Ativo
53,Maria Julia Albuquerque,Sá Alegre,MA,Basico,39.9,2026-01-13,Churn
54,Marcos Vinicius Moura,Alves do Sul,SE,Basico,39.9,2026-01-13,Ativo
55,Alexandre Ferreira,Ramos de Garcia,MS,Premium,89.9,2026-01-13,Ativo
